id;Item_Name;Category;Category_Id;Item_Buyed_Price;Item_Selling_Price
0;Laine;Games;6;38;41.42
1;Teixeira;Tools;4;65;72.15
2;Moreau;Cooking;5;78;88.14
3;Lefevre;Computing;6;48;54.72
4;Rodriguez;Computing;3;28;32.2
5;Perrot;Furniture;1;82;93.48
6;Benoit;Tools;6;56;60.480000000000004
7;Louis;Cooking;4;36;39.24
8;Weiss;Cooking;5;78;88.14
9;Joseph;Furniture;5;72;77.04
10;Mallet;Games;4;11;12.43
11;Bonnin;Tools;2;65;74.1
12;Aubert;Tools;4;68;73.44
13;Seguin;UNKNOWN;3;46;49.22
14;Toussaint;Computing;2;32;34.24
15;Lejeune;UNKNOWN;6;68;75.48
16;Alves;Games;4;37;41.44
17;Bertin;Computing;2;70;74.2
18;Perrier;Games;4;51;56.61
19;Chretien;UNKNOWN;4;88;95.04
20;Dufour;Furniture;5;82;94.3
21;Delattre;UNKNOWN;3;92;96.6
22;Jacques;Furniture;5;31;35.65
23;Lemaire;Furniture;5;10;11.3
24;Albert;Computing;3;71;77.39
25;Tessier;UNKNOWN;5;74;85.1
26;Hernandez;Games;4;41;44.28
27;Faure;UNKNOWN;6;31;34.72
28;Henry;Cooking;3;97;101.85
29;Vincent;UNKNOWN;2;43;48.16
30;Gaillard;Cooking;6;84;95.76
31;Chevallier;Cooking;2;40;44.8
32;Delmas;Furniture;1;41;47.15
33;Leduc;Furniture;1;22;24.86
34;Sanchez;Furniture;3;33;37.62
35;Marques;Tools;4;51;55.08
36;Allard;Cooking;3;29;30.74
37;Barbier;UNKNOWN;4;80;87.2
38;Guillou;UNKNOWN;5;23;24.61
39;Leger;Cooking;5;74;79.92
40;Laurent;Computing;3;82;89.38
41;Seguin;Computing;4;99;109.89
42;Jourdan;Tools;3;18;20.34
43;Delattre;Games;3;17;18.87
44;Barbier;UNKNOWN;6;69;79.35
45;Vallet;Computing;5;54;58.32
46;Jacquet;Furniture;2;88;97.68
47;Nicolas;UNKNOWN;4;64;70.4
48;Millet;Games;2;49;51.94
49;Mary;Games;5;34;35.7
50;Girard;Tools;1;36;40.68
51;Gautier;Furniture;5;87;98.31
52;Guerin;Games;6;57;59.85
53;Fabre;Tools;3;74;79.92
54;Francois;UNKNOWN;1;17;19.21
55;Pelletier;UNKNOWN;4;45;48.6
56;Goncalves;Cooking;3;24;25.92
57;Allain;UNKNOWN;4;58;63.22
58;Devaux;Cooking;4;21;23.52
59;Goncalves;Computing;4;48;52.32
60;Gauthier;Furniture;2;75;86.25
61;Rolland;Furniture;5;12;13.8
62;Brunel;Furniture;5;38;41.42
63;Laine;Games;4;16;17.76
64;Colas;UNKNOWN;6;17;19.21
65;Leblanc;Cooking;1;35;39.2
66;Bodin;Tools;2;79;89.27
67;Jacquot;Cooking;1;80;87.2
68;Legrand;Tools;1;50;53.5
69;Thomas;Cooking;3;92;97.52
70;Leconte;Games;6;98;102.9
71;Hoarau;Tools;3;13;14.43
72;Lebrun;Computing;1;99;111.87
73;Gerard;Cooking;2;13;14.43
74;Lacroix;UNKNOWN;2;71;78.81
75;Brun;Computing;5;64;73.6
76;Marin;Tools;1;66;73.26
77;Clerc;Games;4;58;62.64
78;Lejeune;Furniture;4;66;69.3
79;Faure;Furniture;6;56;61.6
80;Bourdon;Games;6;54;59.4
81;Nicolas;Computing;5;79;90.06
82;Pineau;Cooking;5;79;88.48
83;Bonnin;Cooking;4;99;105.93
84;Klein;Tools;6;62;66.34
85;Chauveau;Games;3;33;36.96
86;Nicolas;Games;5;72;81.36
87;Henry;Games;4;69;73.83
88;Klein;Furniture;1;76;80.56
89;Guillou;UNKNOWN;1;86;92.88
90;Picard;Computing;5;91;101.01
91;Gros;Furniture;6;28;31.64
92;Riviere;Games;6;96;109.44
93;Clement;Computing;6;12;13.56
94;Collin;Computing;3;62;68.82
95;Levy;Cooking;5;37;38.85
96;Dumas;UNKNOWN;4;33;35.31
97;Vallet;Cooking;5;10;10.7
98;Rolland;Cooking;3;45;47.7
99;Weber;Games;6;83;87.98
100;Nicolas;UNKNOWN;6;51;56.1
101;Laporte;Cooking;1;61;68.32
102;Pasquier;UNKNOWN;6;89;95.23
103;Garcia;Cooking;3;50;54.0
104;Bailly;Computing;4;20;21.0
105;Le Roux;Games;5;19;20.52
106;Baron;Furniture;5;36;38.52
107;Remy;Games;3;17;19.04
108;Reynaud;Cooking;6;13;14.69
109;Poulain;Games;4;24;25.92
110;Laroche;Cooking;5;87;91.35
111;Etienne;Games;1;89;95.23
112;Mary;Games;6;47;49.82
113;Benoit;Tools;5;59;61.95
114;Gauthier;Tools;4;58;64.38
115;Dupuis;Furniture;3;84;88.2
116;Marchand;Games;6;45;49.5
117;Lemonnier;Games;2;76;84.36
118;Poirier;Tools;3;68;75.48
119;Dufour;Tools;4;81;91.53
120;Evrard;Computing;4;36;37.8
121;Pelletier;Computing;1;81;89.91
122;Pierre;Computing;5;15;15.9
123;Delaunay;Computing;5;24;27.12
124;Godard;UNKNOWN;4;57;62.7
125;Chevallier;UNKNOWN;1;63;67.41
126;Tanguy;Cooking;1;53;57.769999999999996
127;Huet;Games;5;47;52.64
128;Lombard;Games;5;53;57.769999999999996
129;Robin;Cooking;5;38;43.7
130;Sauvage;UNKNOWN;6;87;91.35
131;Pelletier;Computing;4;43;49.45
132;Blondel;UNKNOWN;4;65;68.9
133;Guerin;Cooking;6;89;93.45
